# Test suite based on
#
#   Brigitte Verdonk, Annie Cuyt, Dennis Verschaeren, "A precision and
#   range independent tool for testing floating-point arithmetic I:
#   basic operations, square root and remainder," ACM Transactions on
#   Mathematical Software, 27, 92-118 (Mar 2001).
#   DOI: 10.1145/382043.382404
#
# adapted for used with double-double arithmetic, where each double has
# a 64-bit mantissa
#
# Mantissa precision: 64
#  Index             Function  Input x                                                     Input y                                                     Output z                                                    ULP                            Error/ULP                     
       0                  Add  [                         Inf,                         Inf] [                         Inf,                         Inf] [                         Inf,                         Inf] [ 0x0.0000000000000000p+00000] [ 0x0.0000000000000000p+00000]
       1                  Add  [                         Inf,                         Inf] [ 0x0.0000000000000000p+00000, 0x0.0000000000000000p+00000] [                         Inf,                         Inf] [ 0x0.0000000000000000p+00000] [ 0x0.0000000000000000p+00000]
       2                  Add  [                         Inf,                         Inf] [ 0x1.0000000000000000p+16383, 0x0.0000000000000000p+00000] [                         Inf,                         Inf] [ 0x0.0000000000000000p+00000] [ 0x0.0000000000000000p+00000]
       3                  Add  [                         Inf,                         Inf] [ 0x1.0000000000000000p-16317,-0x1.0000000000000000p-16445] [                         Inf,                         Inf] [ 0x0.0000000000000000p+00000] [ 0x0.0000000000000000p+00000]
       4                  Add  [                         Inf,                         Inf] [-0x0.0000000000000000p+00000,-0x0.0000000000000000p+00000] [                         Inf,                         Inf] [ 0x0.0000000000000000p+00000] [ 0x0.0000000000000000p+00000]
       5                  Add  [                         Inf,                         Inf] [-0x1.0000000000000000p+16383,-0x0.0000000000000000p+00000] [                         Inf,                         Inf] [ 0x0.0000000000000000p+00000] [ 0x0.0000000000000000p+00000]
       6                  Add  [                         Inf,                         Inf] [-0x1.0000000000000000p-16317, 0x1.0000000000000000p-16445] [                         Inf,                         Inf] [ 0x0.0000000000000000p+00000] [ 0x0.0000000000000000p+00000]
       7                  Add  [                         NaN,                         NaN] [                         Inf,                         Inf] [                         NaN,                         NaN] [ 0x0.0000000000000000p+00000] [ 0x0.0000000000000000p+00000]
       8                  Add  [                         NaN,                         NaN] [                         NaN,                         NaN] [                         NaN,                         NaN] [ 0x0.0000000000000000p+00000] [ 0x0.0000000000000000p+00000]
       9                  Add  [                         NaN,                         NaN] [                        -Inf,                        -Inf] [                         NaN,                         NaN] [ 0x0.0000000000000000p+00000] [ 0x0.0000000000000000p+00000]
      10                  Add  [                         NaN,                         NaN] [ 0x0.0000000000000000p+00000, 0x0.0000000000000000p+00000] [                         NaN,                         NaN] [ 0x0.0000000000000000p+00000] [ 0x0.0000000000000000p+00000]
      11                  Add  [                         NaN,                         NaN] [ 0x1.0000000000000000p+00000, 0x0.0000000000000000p+00000] [                         NaN,                         NaN] [ 0x0.0000000000000000p+00000] [ 0x0.0000000000000000p+00000]
      12                  Add  [                         NaN,                         NaN] [ 0x1.0000000000000000p-16445, 0x0.0000000000000000p+00000] [                         NaN,                         NaN] [ 0x0.0000000000000000p+00000] [ 0x0.0000000000000000p+00000]
      13                  Add  [                         NaN,                         NaN] [ 0x1.fffffffffffffffep+16383, 0x1.0000000000000000p+16320] [                         NaN,                         NaN] [ 0x0.0000000000000000p+00000] [ 0x0.0000000000000000p+00000]
      14                  Add  [                         NaN,                         NaN] [-0x0.0000000000000000p+00000,-0x0.0000000000000000p+00000] [                         NaN,                         NaN] [ 0x0.0000000000000000p+00000] [ 0x0.0000000000000000p+00000]
      15                  Add  [                         NaN,                         NaN] [-0x1.0000000000000000p+00000,-0x0.0000000000000000p+00000] [                         NaN,                         NaN] [ 0x0.0000000000000000p+00000] [ 0x0.0000000000000000p+00000]
      16                  Add  [                         NaN,                         NaN] [-0x1.0000000000000000p-16445,-0x0.0000000000000000p+00000] [                         NaN,                         NaN] [ 0x0.0000000000000000p+00000] [ 0x0.0000000000000000p+00000]
      17                  Add  [                         NaN,                         NaN] [-0x1.fffffffffffffffep+16383,-0x1.0000000000000000p+16320] [                         NaN,                         NaN] [ 0x0.0000000000000000p+00000] [ 0x0.0000000000000000p+00000]
      18                  Add  [                        -Inf,                        -Inf] [                         Inf,                         Inf] [                         NaN,                         NaN] [ 0x0.0000000000000000p+00000] [ 0x0.0000000000000000p+00000]
      19                  Add  [                        -Inf,                        -Inf] [                        -Inf,                        -Inf] [                        -Inf,                        -Inf] [ 0x0.0000000000000000p+00000] [ 0x0.0000000000000000p+00000]
      20                  Add  [                        -Inf,                        -Inf] [ 0x0.0000000000000000p+00000, 0x0.0000000000000000p+00000] [                        -Inf,                        -Inf] [ 0x0.0000000000000000p+00000] [ 0x0.0000000000000000p+00000]
      21                  Add  [                        -Inf,                        -Inf] [ 0x1.0000000000000000p+16383, 0x0.0000000000000000p+00000] [                        -Inf,                        -Inf] [ 0x0.0000000000000000p+00000] [ 0x0.0000000000000000p+00000]
      22                  Add  [                        -Inf,                        -Inf] [ 0x1.0000000000000000p-16317,-0x1.0000000000000000p-16445] [                        -Inf,                        -Inf] [ 0x0.0000000000000000p+00000] [ 0x0.0000000000000000p+00000]
      23                  Add  [                        -Inf,                        -Inf] [-0x0.0000000000000000p+00000,-0x0.0000000000000000p+00000] [                        -Inf,                        -Inf] [ 0x0.0000000000000000p+00000] [ 0x0.0000000000000000p+00000]
      24                  Add  [                        -Inf,                        -Inf] [-0x1.0000000000000000p+16383,-0x0.0000000000000000p+00000] [                        -Inf,                        -Inf] [ 0x0.0000000000000000p+00000] [ 0x0.0000000000000000p+00000]
      25                  Add  [                        -Inf,                        -Inf] [-0x1.0000000000000000p-16317, 0x1.0000000000000000p-16445] [                        -Inf,                        -Inf] [ 0x0.0000000000000000p+00000] [ 0x0.0000000000000000p+00000]
      26                  Add  [ 0x0.0000000000000000p+00000, 0x0.0000000000000000p+00000] [ 0x0.0000000000000000p+00000, 0x0.0000000000000000p+00000] [ 0x0.0000000000000000p+00000, 0x0.0000000000000000p+00000] [ 0x0.0000000000000000p+00000] [ 0x0.0000000000000000p+00000]
      27                  Add  [ 0x0.0000000000000000p+00000, 0x0.0000000000000000p+00000] [ 0x1.0000000000000000p+00000, 0x0.0000000000000000p+00000] [ 0x1.0000000000000000p+00000, 0x0.0000000000000000p+00000] [ 0x1.0000000000000000p-00128] [ 0x0.0000000000000000p+00000]
      28                  Add  [ 0x0.0000000000000000p+00000, 0x0.0000000000000000p+00000] [ 0x1.0000000000000000p+00000,-0x1.0000000000000000p-00065] [ 0x1.0000000000000000p+00000,-0x1.0000000000000000p-00065] [ 0x1.0000000000000000p-00129] [ 0x0.0000000000000000p+00000]
      29                  Add  [ 0x0.0000000000000000p+00000, 0x0.0000000000000000p+00000] [ 0x1.0000000000000000p+00000,-0x1.0000000000000000p-00066] [ 0x1.0000000000000000p+00000,-0x1.0000000000000000p-00066] [ 0x1.0000000000000000p-00129] [ 0x0.0000000000000000p+00000]
      30                  Add  [ 0x0.0000000000000000p+00000, 0x0.0000000000000000p+00000] [ 0x1.0000000000000000p+00000,-0x1.0000000000000000p-00067] [ 0x1.0000000000000000p+00000,-0x1.0000000000000000p-00067] [ 0x1.0000000000000000p-00129] [ 0x0.0000000000000000p+00000]
      31                  Add  [ 0x0.0000000000000000p+00000, 0x0.0000000000000000p+00000] [ 0x1.0000000000000000p+00000,-0x1.0000000000000000p-00068] [ 0x1.0000000000000000p+00000,-0x1.0000000000000000p-00068] [ 0x1.0000000000000000p-00129] [ 0x0.0000000000000000p+00000]
